Entry	Entry name	Status	Protein names	Organism	Length	Gene names  (primary )
Q8N104	D106A_HUMAN	reviewed	Beta-defensin 106 (Beta-defensin 6) (BD-6) (DEFB-6) (Defensin, beta 106)	Homo sapiens (Human)	65	DEFB106A; DEFB106B
A8MXU0	D108A_HUMAN	reviewed	Putative beta-defensin 108A (Defensin, beta 108A) (Putative beta-defensin 108B pseudogene 1/2)	Homo sapiens (Human)	73	DEFB108P1; DEFB108P2
Q14118	DAG1_HUMAN	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	Homo sapiens (Human)	895	DAG1
Q8WTQ1	D104A_HUMAN	reviewed	Beta-defensin 104 (Beta-defensin 4) (BD-4) (DEFB-4) (hBD-4) (Defensin, beta 104)	Homo sapiens (Human)	72	DEFB104A; DEFB104B
Q8NET1	D108B_HUMAN	reviewed	Beta-defensin 108B (Beta-defensin 8) (BD-8) (DEFB-8) (hBD-8) (Defensin, beta 108) (Defensin, beta 108B)	Homo sapiens (Human)	73	DEFB108B
Q8IZN7	D107A_HUMAN	reviewed	Beta-defensin 107 (Beta-defensin 7) (BD-7) (DEFB-7) (Defensin, beta 107)	Homo sapiens (Human)	70	DEFB107A; DEFB107B
Q30KR1	DB109_HUMAN	reviewed	Beta-defensin 109 (Defensin, beta 109) (Defensin, beta 109, pseudogene 1/1B)	Homo sapiens (Human)	87	DEFB109P1; DEFB109P1B
Q30KQ5	DB115_HUMAN	reviewed	Beta-defensin 115 (Beta-defensin 15) (DEFB-15) (Defensin, beta 115)	Homo sapiens (Human)	88	DEFB115
Q96PH6	DB118_HUMAN	reviewed	Beta-defensin 118 (Beta-defensin 18) (DEFB-18) (Defensin, beta 118) (Epididymal secretory protein 13.6) (ESP13.6)	Homo sapiens (Human)	123	DEFB118
Q8N687	DB125_HUMAN	reviewed	Beta-defensin 125 (Beta-defensin 25) (DEFB-25) (Defensin, beta 125)	Homo sapiens (Human)	156	DEFB125
Q9H1M3	DB129_HUMAN	reviewed	Beta-defensin 129 (Beta-defensin 29) (DEFB-29) (Defensin, beta 129)	Homo sapiens (Human)	183	DEFB129
Q30KQ8	DB112_HUMAN	reviewed	Beta-defensin 112 (Beta-defensin 12) (DEFB-12) (Defensin, beta 112)	Homo sapiens (Human)	113	DEFB112
P59861	DB131_HUMAN	reviewed	Beta-defensin 131 (Beta-defensin 31) (DEFB-31) (Defensin, beta 131)	Homo sapiens (Human)	70	DEFB131
Q30KP9	DB135_HUMAN	reviewed	Beta-defensin 135 (Defensin, beta 135)	Homo sapiens (Human)	77	DEFB135
P12838	DEF4_HUMAN	reviewed	Neutrophil defensin 4 (Defensin, alpha 4) (HNP-4) (HP-4)	Homo sapiens (Human)	97	DEFA4
P60022	DEFB1_HUMAN	reviewed	Beta-defensin 1 (BD-1) (hBD-1) (Defensin, beta 1)	Homo sapiens (Human)	68	DEFB1
Q7Z5J1	DHI1L_HUMAN	reviewed	Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3) (Short chain dehydrogenase/reductase family 26C member 2) (Short-chain dehydrogenase/reductase 10)	Homo sapiens (Human)	315	HSD11B1L
Q6UX07	DHR13_HUMAN	reviewed	Dehydrogenase/reductase SDR family member 13 (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 7C member 5)	Homo sapiens (Human)	377	DHRS13
Q9H7Y0	DIA1R_HUMAN	reviewed	Deleted in autism-related protein 1	Homo sapiens (Human)	433	CXorf36
P59666	DEF3_HUMAN	reviewed	Neutrophil defensin 3 (Defensin, alpha 3) (HNP-3) (HP-3) (HP3) [Cleaved into: HP 3-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	Homo sapiens (Human)	94	DEFA3
Q01524	DEF6_HUMAN	reviewed	Defensin-6 (Defensin, alpha 6)	Homo sapiens (Human)	100	DEFA6
Q9UBP4	DKK3_HUMAN	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3)	Homo sapiens (Human)	350	DKK3
P59665	DEF1_HUMAN	reviewed	Neutrophil defensin 1 (Defensin, alpha 1) (HNP-1) (HP-1) (HP1) [Cleaved into: HP 1-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	Homo sapiens (Human)	94	DEFA1; DEFA1B
Q8NDZ4	DIA1_HUMAN	reviewed	Deleted in autism protein 1 (Golgi Protein of 49 kDa) (GoPro49) (Hypoxia and AKT-induced stem cell factor) (HASF)	Homo sapiens (Human)	430	C3orf58
Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	Homo sapiens (Human)	913	DDR1
Q01523	DEF5_HUMAN	reviewed	Defensin-5 (Defensin, alpha 5) (HD5(20-94)) [Cleaved into: HD5(23-94); HD5(29-94); HD5(56-94); HD5(63-94)]	Homo sapiens (Human)	94	DEFA5
Q8NBQ5	DHB11_HUMAN	reviewed	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Cutaneous T-cell lymphoma-associated antigen HD-CL-03) (CTCL-associated antigen HD-CL-03) (Dehydrogenase/reductase SDR family member 8) (Retinal short-chain dehydrogenase/reductase 2) (retSDR2) (Short chain dehydrogenase/reductase family 16C member 2)	Homo sapiens (Human)	300	HSD17B11
P81605	DCD_HUMAN	reviewed	Dermcidin (EC 3.4.-.-) (Preproteolysin) [Cleaved into: Survival-promoting peptide; DCD-1]	Homo sapiens (Human)	110	DCD
Q6UWP2	DHR11_HUMAN	reviewed	Dehydrogenase/reductase SDR family member 11 (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 24C member 1)	Homo sapiens (Human)	260	DHRS11
Q8N907	DAND5_HUMAN	reviewed	DAN domain family member 5 (Cerberus-like protein 2) (Cerl-2) (Cysteine knot superfamily 1, BMP antagonist 3) (Gremlin-3)	Homo sapiens (Human)	189	DAND5
Q30KQ9	DB110_HUMAN	reviewed	Beta-defensin 110 (Beta-defensin 10) (DEFB-10) (Beta-defensin 11) (DEFB-11) (Beta-defensin 111) (Defensin, beta 110) (Defensin, beta 111)	Homo sapiens (Human)	67	DEFB110
Q4QY38	DB134_HUMAN	reviewed	Beta-defensin 134 (Defensin, beta 134)	Homo sapiens (Human)	66	DEFB134
Q30KP8	DB136_HUMAN	reviewed	Beta-defensin 136 (Defensin, beta 136)	Homo sapiens (Human)	78	DEFB136
Q7Z5P4	DHB13_HUMAN	reviewed	17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Short chain dehydrogenase/reductase family 16C member 3) (Short-chain dehydrogenase/reductase 9)	Homo sapiens (Human)	300	HSD17B13
Q8N690	DB119_HUMAN	reviewed	Beta-defensin 119 (Beta-defensin 120) (Beta-defensin 19) (DEFB-19) (Beta-defensin 20) (DEFB-20) (Defensin, beta 119) (Defensin, beta 120) (ESC42-RELA)	Homo sapiens (Human)	84	DEFB119
Q8N688	DB123_HUMAN	reviewed	Beta-defensin 123 (Beta-defensin 23) (DEFB-23) (Defensin, beta 123)	Homo sapiens (Human)	67	DEFB123
Q9H1M4	DB127_HUMAN	reviewed	Beta-defensin 127 (Beta-defensin 27) (DEFB-27) (Defensin, beta 127)	Homo sapiens (Human)	99	DEFB127
Q5J5C9	DB121_HUMAN	reviewed	Beta-defensin 121 (Beta-defensin 21) (DEFB-21) (Defensin, beta 121)	Homo sapiens (Human)	76	DEFB121
Q9BYW3	DB126_HUMAN	reviewed	Beta-defensin 126 (Beta-defensin 26) (DEFB-26) (Defensin, beta 126) (Epididymal secretory protein 13.2) (ESP13.2) (HBD26)	Homo sapiens (Human)	111	DEFB126
O75398	DEAF1_HUMAN	reviewed	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin) (Zinc finger MYND domain-containing protein 5)	Homo sapiens (Human)	565	DEAF1
Q9NRR1	CYTL1_HUMAN	reviewed	Cytokine-like protein 1 (Protein C17)	Homo sapiens (Human)	136	CYTL1
Q6E0U4	DMKN_HUMAN	reviewed	Dermokine (Epidermis-specific secreted protein SK30/SK89)	Homo sapiens (Human)	476	DMKN
P12724	ECP_HUMAN	reviewed	Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Ribonuclease 3) (RNase 3)	Homo sapiens (Human)	160	RNASE3
P14138	EDN3_HUMAN	reviewed	Endothelin-3 (ET-3) (Preproendothelin-3) (PPET3)	Homo sapiens (Human)	238	EDN3
Q92838	EDA_HUMAN	reviewed	Ectodysplasin-A (Ectodermal dysplasia protein) (EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]	Homo sapiens (Human)	391	EDA
Q8IUX8	EGFL6_HUMAN	reviewed	Epidermal growth factor-like protein 6 (EGF-like protein 6) (MAM and EGF domains-containing gene protein)	Homo sapiens (Human)	553	EGFL6
Q99944	EGFL8_HUMAN	reviewed	Epidermal growth factor-like protein 8 (EGF-like protein 8) (Vascular endothelial statin-2) (VE-statin-2)	Homo sapiens (Human)	293	EGFL8
P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	Homo sapiens (Human)	1210	EGFR
A6NNS2	DRS7C_HUMAN	reviewed	Dehydrogenase/reductase SDR family member 7C (EC 1.1.-.-) (Short-chain dehydrogenase/reductase family 32C member 2)	Homo sapiens (Human)	312	DHRS7C
Q9UHL4	DPP2_HUMAN	reviewed	Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase)	Homo sapiens (Human)	492	DPP7
O60469	DSCAM_HUMAN	reviewed	Down syndrome cell adhesion molecule (CHD2)	Homo sapiens (Human)	2012	DSCAM
Q9NZW4	DSPP_HUMAN	reviewed	Dentin sialophosphoprotein [Cleaved into: Dentin phosphoprotein (Dentin phosphophoryn) (DPP); Dentin sialoprotein (DSP)]	Homo sapiens (Human)	1301	DSPP
O94769	ECM2_HUMAN	reviewed	Extracellular matrix protein 2 (Matrix glycoprotein SC1/ECM2)	Homo sapiens (Human)	699	ECM2
P20827	EFNA1_HUMAN	reviewed	Ephrin-A1 (EPH-related receptor tyrosine kinase ligand 1) (LERK-1) (Immediate early response protein B61) (Tumor necrosis factor alpha-induced protein 4) (TNF alpha-induced protein 4) [Cleaved into: Ephrin-A1, secreted form]	Homo sapiens (Human)	205	EFNA1
P0DMC3	ELA_HUMAN	reviewed	Apelin receptor early endogenous ligand (Protein Elabela) (Protein Toddler)	Homo sapiens (Human)	54	APELA
Q9BXX0	EMIL2_HUMAN	reviewed	EMILIN-2 (Elastin microfibril interface-located protein 2) (Elastin microfibril interfacer 2) (Protein FOAP-10)	Homo sapiens (Human)	1053	EMILIN2
Q16206	ENOX2_HUMAN	reviewed	Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	Homo sapiens (Human)	610	ENOX2
Q9UM22	EPDR1_HUMAN	reviewed	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	Homo sapiens (Human)	224	EPDR1
O15197	EPHB6_HUMAN	reviewed	Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6)	Homo sapiens (Human)	1021	EPHB6
Q9H6B9	EPHX3_HUMAN	reviewed	Epoxide hydrolase 3 (EC 3.3.-.-) (Abhydrolase domain-containing protein 9)	Homo sapiens (Human)	360	EPHX3
Q4G0M1	ERFE_HUMAN	reviewed	Erythroferrone (Complement C1q tumor necrosis factor-related protein 15) (Myonectin)	Homo sapiens (Human)	354	ERFE
Q9NT22	EMIL3_HUMAN	reviewed	EMILIN-3 (EMILIN-5) (Elastin microfibril interface-located protein 3) (Elastin microfibril interfacer 3) (Elastin microfibril interface-located protein 5) (Elastin microfibril interfacer 5)	Homo sapiens (Human)	766	EMILIN3
Q6UWT2	ENHO_HUMAN	reviewed	Adropin (Energy homeostasis-associated protein)	Homo sapiens (Human)	76	ENHO
P22413	ENPP1_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1 (E-NPP 1) (Membrane component chromosome 6 surface marker 1) (Phosphodiesterase I/nucleotide pyrophosphatase 1) (Plasma-cell membrane glycoprotein PC-1) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	Homo sapiens (Human)	925	ENPP1
Q13822	ENPP2_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 (E-NPP 2) (EC 3.1.4.39) (Autotaxin) (Extracellular lysophospholipase D) (LysoPLD)	Homo sapiens (Human)	863	ENPP2
O14638	ENPP3_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)]	Homo sapiens (Human)	875	ENPP3
O75356	ENTP5_HUMAN	reviewed	Ectonucleoside triphosphate diphosphohydrolase 5 (NTPDase 5) (EC 3.6.1.6) (CD39 antigen-like 4) (ER-UDPase) (Guanosine-diphosphatase ENTPD5) (GDPase ENTPD5) (EC 3.6.1.42) (Nucleoside diphosphatase) (Uridine-diphosphatase ENTPD5) (UDPase ENTPD5)	Homo sapiens (Human)	428	ENTPD5
P21860	ERBB3_HUMAN	reviewed	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	Homo sapiens (Human)	1342	ERBB3
O14944	EREG_HUMAN	reviewed	Proepiregulin [Cleaved into: Epiregulin (EPR)]	Homo sapiens (Human)	169	EREG
Q5UCC4	EMC10_HUMAN	reviewed	ER membrane protein complex subunit 10 (Hematopoietic signal peptide-containing membrane domain-containing protein 1)	Homo sapiens (Human)	262	EMC10
Q96A84	EMID1_HUMAN	reviewed	EMI domain-containing protein 1 (Emilin and multimerin domain-containing protein 1) (Emu1)	Homo sapiens (Human)	441	EMID1
Q9Y6C2	EMIL1_HUMAN	reviewed	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	Homo sapiens (Human)	1016	EMILIN1
Q14507	EP3A_HUMAN	reviewed	Epididymal secretory protein E3-alpha (Human epididymis-specific protein 3-alpha) (HE3-alpha)	Homo sapiens (Human)	147	EDDM3A
P19957	ELAF_HUMAN	reviewed	Elafin (Elastase-specific inhibitor) (ESI) (Peptidase inhibitor 3) (PI-3) (Protease inhibitor WAP3) (Skin-derived antileukoproteinase) (SKALP) (WAP four-disulfide core domain protein 14)	Homo sapiens (Human)	117	PI3
O43854	EDIL3_HUMAN	reviewed	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	Homo sapiens (Human)	480	EDIL3
P20800	EDN2_HUMAN	reviewed	Endothelin-2 (ET-2) (Preproendothelin-2) (PPET2)	Homo sapiens (Human)	178	EDN2
P52798	EFNA4_HUMAN	reviewed	Ephrin-A4 (EPH-related receptor tyrosine kinase ligand 4) (LERK-4)	Homo sapiens (Human)	201	EFNA4
P15502	ELN_HUMAN	reviewed	Elastin (Tropoelastin)	Homo sapiens (Human)	786	ELN
P05305	EDN1_HUMAN	reviewed	Endothelin-1 (Preproendothelin-1) (PPET1) [Cleaved into: Endothelin-1 (ET-1); Big endothelin-1]	Homo sapiens (Human)	212	EDN1
Q63HQ2	EGFLA_HUMAN	reviewed	Pikachurin (Agrin-like protein) (EGF-like, fibronectin type-III and laminin G-like domain-containing protein)	Homo sapiens (Human)	1017	EGFLAM
O75354	ENTP6_HUMAN	reviewed	Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2)	Homo sapiens (Human)	484	ENTPD6
P01588	EPO_HUMAN	reviewed	Erythropoietin (Epoetin)	Homo sapiens (Human)	193	EPO
Q5XG92	EST4A_HUMAN	reviewed	Carboxylesterase 4A (EC 3.1.1.-)	Homo sapiens (Human)	561	CES4A
Q16610	ECM1_HUMAN	reviewed	Extracellular matrix protein 1 (Secretory component p85)	Homo sapiens (Human)	540	ECM1
Q9UHF1	EGFL7_HUMAN	reviewed	Epidermal growth factor-like protein 7 (EGF-like protein 7) (Multiple epidermal growth factor-like domains protein 7) (Multiple EGF-like domains protein 7) (NOTCH4-like protein) (Vascular endothelial statin) (VE-statin) (Zneu1)	Homo sapiens (Human)	273	EGFL7
O94919	ENDD1_HUMAN	reviewed	Endonuclease domain-containing 1 protein (EC 3.1.30.-)	Homo sapiens (Human)	500	ENDOD1
P21128	ENDOU_HUMAN	reviewed	Poly(U)-specific endoribonuclease (EC 3.1.-.-) (Placental protein 11) (PP11) (Protein endoU) (Uridylate-specific endoribonuclease)	Homo sapiens (Human)	410	ENDOU
Q96BH3	ESPB1_HUMAN	reviewed	Epididymal sperm-binding protein 1 (Epididymal secretory protein 12) (hE12)	Homo sapiens (Human)	223	ELSPBP1
Q9NRM1	ENAM_HUMAN	reviewed	Enamelin	Homo sapiens (Human)	1142	ENAM
Q6NT32	EST5A_HUMAN	reviewed	Carboxylesterase 5A (EC 3.1.1.1) (Carboxylesterase-like urinary excreted protein homolog) (Cauxin)	Homo sapiens (Human)	575	CES5A
P05160	F13B_HUMAN	reviewed	Coagulation factor XIII B chain (Fibrin-stabilizing factor B subunit) (Protein-glutamine gamma-glutamyltransferase B chain) (Transglutaminase B chain)	Homo sapiens (Human)	661	F13B
Q8TC92	ENOX1_HUMAN	reviewed	Ecto-NOX disulfide-thiol exchanger 1 (Candidate growth-related and time keeping constitutive hydroquinone [NADH] oxidase) (cCNOX) (Cell proliferation-inducing gene 38 protein) (Constitutive Ecto-NOX) (cNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)]	Homo sapiens (Human)	643	ENOX1
Q9UJA9	ENPP5_HUMAN	reviewed	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5 (E-NPP 5) (NPP-5) (EC 3.1.-.-)	Homo sapiens (Human)	477	ENPP5
P56851	EP3B_HUMAN	reviewed	Epididymal secretory protein E3-beta (Human epididymis-specific protein 3-beta) (HE3-beta)	Homo sapiens (Human)	147	EDDM3B
Q5JZY3	EPHAA_HUMAN	reviewed	Ephrin type-A receptor 10 (EC 2.7.10.1)	Homo sapiens (Human)	1008	EPHA10
Q6UW88	EPGN_HUMAN	reviewed	Epigen (Epithelial mitogen) (EPG)	Homo sapiens (Human)	154	EPGN
P19235	EPOR_HUMAN	reviewed	Erythropoietin receptor (EPO-R)	Homo sapiens (Human)	508	EPOR
Q8N2X6	EXAS1_HUMAN	reviewed	Uncharacterized protein EXOC3-AS1 (EXOC3 antisense RNA 1) (EXOC3 antisense gene protein 1)	Homo sapiens (Human)	119	EXOC3-AS1
Q9NQ30	ESM1_HUMAN	reviewed	Endothelial cell-specific molecule 1 (ESM-1)	Homo sapiens (Human)	184	ESM1
Q6UXB0	F131A_HUMAN	reviewed	Protein FAM131A	Homo sapiens (Human)	335	FAM131A
Q9UFP1	F198A_HUMAN	reviewed	Protein FAM198A	Homo sapiens (Human)	575	FAM198A
Q7Z5A8	F19A3_HUMAN	reviewed	Protein FAM19A3 (Chemokine-like protein TAFA-3)	Homo sapiens (Human)	133	FAM19A3
P00748	FA12_HUMAN	reviewed	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	Homo sapiens (Human)	615	F12
A6NFZ4	FA24A_HUMAN	reviewed	Protein FAM24A	Homo sapiens (Human)	105	FAM24A
P29320	EPHA3_HUMAN	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	Homo sapiens (Human)	983	EPHA3
O95925	EPPI_HUMAN	reviewed	Eppin (Cancer/testis antigen 71) (CT71) (Epididymal protease inhibitor) (Protease inhibitor WAP7) (Serine protease inhibitor-like with Kunitz and WAP domains 1) (WAP four-disulfide core domain protein 7)	Homo sapiens (Human)	133	EPPIN
Q99645	EPYC_HUMAN	reviewed	Epiphycan (Dermatan sulfate proteoglycan 3) (Proteoglycan-Lb) (PG-Lb) (Small chondroitin/dermatan sulfate proteoglycan)	Homo sapiens (Human)	322	EPYC
Q9UBQ6	EXTL2_HUMAN	reviewed	Exostosin-like 2 (EC 2.4.1.223) (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) [Cleaved into: Processed exostosin-like 2]	Homo sapiens (Human)	330	EXTL2
Q9BRX8	F213A_HUMAN	reviewed	Redox-regulatory protein FAM213A (Peroxiredoxin-like 2 activated in M-CSF stimulated monocytes) (Protein PAMM)	Homo sapiens (Human)	229	FAM213A
P08709	FA7_HUMAN	reviewed	Coagulation factor VII (EC 3.4.21.21) (Proconvertin) (Serum prothrombin conversion accelerator) (SPCA) (Eptacog alfa) [Cleaved into: Factor VII light chain; Factor VII heavy chain]	Homo sapiens (Human)	466	F7
Q96BQ1	FAM3D_HUMAN	reviewed	Protein FAM3D	Homo sapiens (Human)	224	FAM3D
Q8WUF8	F172A_HUMAN	reviewed	Protein FAM172A	Homo sapiens (Human)	416	FAM172A
Q7Z5A9	F19A1_HUMAN	reviewed	Protein FAM19A1 (Chemokine-like protein TAFA-1)	Homo sapiens (Human)	133	FAM19A1
P00742	FA10_HUMAN	reviewed	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	Homo sapiens (Human)	488	F10
P03951	FA11_HUMAN	reviewed	Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]	Homo sapiens (Human)	625	F11
Q96MK3	FA20A_HUMAN	reviewed	Pseudokinase FAM20A	Homo sapiens (Human)	541	FAM20A
Q8IXL6	FA20C_HUMAN	reviewed	Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK)	Homo sapiens (Human)	584	FAM20C
P12259	FA5_HUMAN	reviewed	Coagulation factor V (Activated protein C cofactor) (Proaccelerin, labile factor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]	Homo sapiens (Human)	2224	F5
Q6UWU2	GLB1L_HUMAN	reviewed	Beta-galactosidase-1-like protein (EC 3.2.1.-)	Homo sapiens (Human)	654	GLB1L
P01215	GLHA_HUMAN	reviewed	Glycoprotein hormones alpha chain (Anterior pituitary glycoprotein hormones common subunit alpha) (Choriogonadotropin alpha chain) (Chorionic gonadotrophin subunit alpha) (CG-alpha) (Follicle-stimulating hormone alpha chain) (FSH-alpha) (Follitropin alpha chain) (Luteinizing hormone alpha chain) (LSH-alpha) (Lutropin alpha chain) (Thyroid-stimulating hormone alpha chain) (TSH-alpha) (Thyrotropin alpha chain)	Homo sapiens (Human)	116	CGA
Q9UJJ9	GNPTG_HUMAN	reviewed	N-acetylglucosamine-1-phosphotransferase subunit gamma (GlcNAc-1-phosphotransferase subunit gamma) (UDP-N-acetylglucosamine-1-phosphotransferase subunit gamma)	Homo sapiens (Human)	305	GNPTG
Q96T91	GPHA2_HUMAN	reviewed	Glycoprotein hormone alpha-2 (Putative secreted protein Zsig51) (Thyrostimulin subunit alpha)	Homo sapiens (Human)	129	GPHA2
P22749	GNLY_HUMAN	reviewed	Granulysin (Lymphokine LAG-2) (Protein NKG5) (T-cell activation protein 519)	Homo sapiens (Human)	145	GNLY
Q96SL4	GPX7_HUMAN	reviewed	Glutathione peroxidase 7 (GPx-7) (GSHPx-7) (EC 1.11.1.9) (CL683)	Homo sapiens (Human)	187	GPX7
Q8IW92	GLBL2_HUMAN	reviewed	Beta-galactosidase-1-like protein 2 (EC 3.2.1.-)	Homo sapiens (Human)	636	GLB1L2
O95467	GNAS3_HUMAN	reviewed	Neuroendocrine secretory protein 55 (NESP55) [Cleaved into: LHAL tetrapeptide; GPIPIRRH peptide]	Homo sapiens (Human)	245	GNAS
P09681	GIP_HUMAN	reviewed	Gastric inhibitory polypeptide (GIP) (Glucose-dependent insulinotropic polypeptide) (Incretin hormone)	Homo sapiens (Human)	153	GIP
Q96MS3	GL1D1_HUMAN	reviewed	Glycosyltransferase 1 domain-containing protein 1 (EC 2.4.-.-)	Homo sapiens (Human)	346	GLT1D1
P35052	GPC1_HUMAN	reviewed	Glypican-1 [Cleaved into: Secreted glypican-1]	Homo sapiens (Human)	558	GPC1
O75487	GPC4_HUMAN	reviewed	Glypican-4 (K-glypican) [Cleaved into: Secreted glypican-4]	Homo sapiens (Human)	556	GPC4
P51124	GRAM_HUMAN	reviewed	Granzyme M (EC 3.4.21.-) (Met-1 serine protease) (Hu-Met-1) (Met-ase) (Natural killer cell granular protease)	Homo sapiens (Human)	257	GZMM
P09341	GROA_HUMAN	reviewed	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]	Homo sapiens (Human)	107	CXCL1
P55259	GP2_HUMAN	reviewed	Pancreatic secretory granule membrane major glycoprotein GP2 (Pancreatic zymogen granule membrane protein GP-2) (ZAP75)	Homo sapiens (Human)	537	GP2
P07492	GRP_HUMAN	reviewed	Gastrin-releasing peptide (GRP) [Cleaved into: Neuromedin-C (GRP-10)]	Homo sapiens (Human)	148	GRP
P01148	GON1_HUMAN	reviewed	Progonadoliberin-1 (Progonadoliberin I) [Cleaved into: Gonadoliberin-1 (Gonadoliberin I) (Gonadorelin) (Gonadotropin-releasing hormone I) (GnRH-I) (Luliberin I) (Luteinizing hormone-releasing hormone I) (LH-RH I); GnRH-associated peptide 1 (GnRH-associated peptide I)]	Homo sapiens (Human)	92	GNRH1
